,name,brand,description,details,occasion,style,subcategory_bottom,subcategory_top
0,Original Fitness Sneakers,FILA,Vintage Fitness leather sneakers with logo print design. This style is in Men's sizes.,"Leather/synthetic upper
Lace-up closure
Textile lining
Rubber sole
Imported",[],[],N/A,N/A
1,HAT,CHANEL,unknown,WOOL TWEED & FELT,"['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Classic', 'classic', 'casual', 'Casual']",N/A,N/A
2,Petit Oval Buckle Belt,Frame,A Timeless Leather Belt Crafted From Smooth Cowhide. Minimally Finished With A Polished Gold Oval Buckle.,unknown,"['nightout', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['glam', 'Casual', 'classic', 'Classic', 'casual', 'businesscasual', 'modern', 'androgynous', 'edgy', 'retro']",N/A,N/A
3,Little Gir's & Girl's Ariana One-Piece UPF 50+ Swimsuit,Lilly Pulitzer Kids,Pretty ruffle sleeves and trim elevate essential tank swimsuit in a colorful allover print.,"Scoopneck
Adjustable straps
Flutter sleeves
Pull-on style
UPF 50+ sun protection
Nylon/spandex
Machine wash
Imported",[],[],N/A,N/A
4,Baby Girl's Endearing Elephants Pima Cotton Convertible Gown,Kissy Kissy,Versatile convertible gown with elephant applique,"V-neckline
Long sleeves
Front snap closure
Elasticized bottom
Pima cotton
Machine wash
Imported",[],[],N/A,N/A
5,Savage Love Texty Time Leopard-Print Rabbit Fur Mittens,Jocelyn,From the Savage Love Collection. Fingerless knit mittens crafted with plush leopard-print rabbit fur for added warmth and style.,"Acrylic/wool
Fur type: Dyed rabbit
Fur origin: China
Dry clean by fur specialist
Imported
SIZELength, about 7""",[],[],N/A,N/A
6,Teah stretch-silk camisole,Theory,"Beige stretch-silk Slips on 93% silk, 7% spandex Dry clean Imported","Fits true to size, take your normal size
Cut for a slightly loose fit
Lightweight, stretchy fabric
Model is 177cm/ 5’10” and is wearing a size Small",[],[],N/A,N/A
7,Postcard Patch Hoodie,AMI Paris,Casual cotton-blend hoodie with an embossed large Ami Paris logo patch at the chest.,"Attached drawstring hood
Long sleeves
Pullover style
Front kangaroo pocket
Rib-knit cuffs and hem
Cotton/polyester
Machine wash
Imported
SIZE & FITAbout 27"" from shoulder to hem",[],[],N/A,N/A
8,Layered velvet mini dress,Alexander Wang,"Black velvet Concealed hook and zip fastening at back 65% viscose, 35% cupro; lining: 100% silk Dry clean Imported","Fits true to size, take your normal size 
Designed to be fitted at the bust and waist, slightly loose at the hip 
Internal bust support
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a US 2","['NightOut', 'weekend', 'nightout', 'Weekend']","['glam', 'Modern', 'Classic', 'classic', 'modern', 'Glam']",N/A,N/A
9,Wide leather belt,J.Crew,The ideal way to add definition to your favorite dresses: this wide belt. Featuring custom hardware and rich leather that'll get better the more you wear it.,unknown,[],[],N/A,N/A
10,Faux-leather pleated midi skirt,J.Crew,"With accordion pleats and a flattering midi length, our faux-leather skirt looks and feels just like the real thing.",unknown,[],[],N/A,N/A
11,Parker logo-embellished snake-effect leather ankle boots,Alexander Wang,Heel measures approximately 75mm/ 3 inches Snake-effect leather (Calf) Zip fastening along back Imported,"Fits true to size, take your normal size 
Italian sizing","['NightOut', 'nightout', 'Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['glam', 'Modern', 'Androgynous', 'BusinessCasual', 'Edgy', 'classic', 'businesscasual', 'Classic', 'modern', 'Glam', 'androgynous', 'edgy']",N/A,N/A
12,Le Garcon--NOIR,Frame,A Sophisticated Boyfriend Jean with a Tailored Straight Leg Silhouette. Crafted from Premium Black Denim with Medium Stretch.,unknown,[],[],N/A,N/A
13,Leather iPhone X Case,TDE,"Essential phone case cut from rich Saffiano leather for a sleek, modern look.","Dust bag included
Rubber lining
Saffiano leather
Wipe clean
Imported
SIZEFit iPhone X
2.5""W x 5.5""H",[],[],N/A,N/A
14,Little Kid's & Kid's Splash Jacket,Hatley,Colorful raincoat with cozy lining keeps them warm and protected.,"Attached hood
Long sleeves
Snap button front
Snap flap pockets
PVC-free and waterproof
Print polyester lining
Polyurethane
Machine wash
Imported
SIZEAbout 22"" from shoulder to hem",[],[],N/A,N/A
15,Miranda 68MM Oversized Round Sunglasses,Tom Ford,Oversized crossover metal frame with open temple and floating lens. Available in shiny rose gold with brown lens.,"100% UV protection
Gradient brown lenses
Adjustable nose pads
Metal
Made in Italy
SIZE68mm lens width
10mm bridge width
115mm temple length",[],[],N/A,N/A
16,Horseshoe Buckle Suede Belt,Montblanc,Horse-shoe shaped palladium-coated pin buckle with antique effect.,"Self-adjustable
Silvertone hardware
Leather
Made in Italy
SIZEWidth, 1.5""",[],[],N/A,N/A
17,Silk-crepe midi dress,Theory,"Black silk-crepe Concealed zip fastening along back 100% silk; lining1: 65% triacetate, 35% polyester; lining2: 100% polyester Dry clean Imported","Fits true to size, take your normal size
Cut for a slim fit
Dropped waist
Lightweight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a US 2",[],[],N/A,N/A
18,Tall stretch Secret Wash shirt in square connection organic cotton,J.Crew,"Meet the pinnacle of shirt engineering. A customer favorite since 2005, our Secret Wash shirts are now made with organic cotton that's grown without toxic chemicals or GMOs (genetically modified organisms), which means it's better for the health of the soil, the ecosystem and the people who farm it. We added Stretch on Demand for extra flex you'll only notice when you need it, and use our (proprietary) multistep wash process to achieve a soft, broken-in feel from day one.",unknown,[],[],N/A,N/A
19,Loeffler Randall® Emilia pleated knot slide sandals,J.Crew,"Step up your sandal game with this best seller from NYC-based, family-owned accessories brand Loeffler Randall. We love the pleated metallic gold and chunky (aka walkable) heel. <a href='https://www.jcrew.com/c/womens_feature/stylehacks?intcmp=newHP_columntouts_4_women_stylehacks&amp;om_i=newHP_p3'><u>See them in action in our latest Style Hacks.</u></a>",unknown,[],"['romantic', 'Modern', 'Casual', 'classic', 'Classic', 'casual', 'modern', 'Romantic']",N/A,N/A
20,Femme Hi Spikes high-rise straight-leg jeans,Helmut Lang,"Blue denim Button and concealed zip fastening at front 98% cotton, 2% elastane Machine wash Made in Italy","Fits true to size, take your normal size 
High-rise, designed for a straight-leg fit 
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size 26","['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Casual', 'Androgynous', 'classic', 'Classic', 'casual', 'androgynous']",Pants&Leggings,N/A
21,Francis Belted Checked Wool Wide-Leg Pants,Emilia Wickstead,"Emilia Wickstead' proves that her tailoring is just as covetable as the label's glamorous evening dresses. The label's 'Francis' pants are checked from checked virgin wool that's outlined in smart creases. Use the wide waist belt to temper the cuffed wide-leg hem.

","Concealed zip fastening along back
Composition: 100% virgin wool
Dry clean 
Imported


This style fits true to sizeWe suggest taking your normal size
Model measurements: height 5'9""/175cm - bust 32""/81.2cm - waist 24""/60.96cm - hip 34""/86.36cmShe is wearing size UK 6","['Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['BusinessCasual', 'classic', 'Retro', 'Classic', 'businesscasual', 'Androgynous', 'androgynous', 'retro']",Pants&Leggings,N/A
22,Georgica Sun 53MM Cat Eye Sunglasses,Oliver Peoples,"ONLY AT SAKS. Round, polarized lenses in a chic cat eye frame with goldtone stripe.","100% UV protection
Polarized lenses
Case and cleaning cloth included
Acetate
Made in Italy
SIZE53mm lens width
21mm bridge width
145mm temple width","['vacation', 'weekend']","['modern', 'classic', 'casual']",N/A,N/A
23,Heritage Youth Backpack,Herschel Supply Co.,On-trend backpack with padded and mesh details,"Top handle
Adjustable shoulder straps
Top zip closure
13"" laptop sleeve
Interior media pocket
One exterior zip pocket
Fabric lining
Polyester
10.5""W x 15.5""H x 4.5""D
Spot clean
Imported",[],[],N/A,N/A
24,Aquaracer 43MM Stainless Steel & Two-Tone Aluminum Automatic Bracelet Watch,TAG Heuer,"From the Aquaracer Collection. The ultimate sports watch inspired by the aquatic world in a fine polished and brushed stainless steel with a blue and red polished aluminum bezel, and precision Caliber 7 automatic movement.. Water-resistant up to 30 ATM. The unique double security clasp and unidirectional turning bezel protect you so that you can take risks and count on the ultimate precision under pressure as you dive into life.","Calibre 7 twin-time automatic movement
Unidirectional turning",[],[],N/A,N/A
